2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
366,GB&GR,254,Ritual (with Marcus Gibson) [v2] Mothership | Richual Song was originally untitled.,Juice WRLD & Marcus Gibson,The Beat Asylum,Marcus Gibson,"Song is unfinished, contains an open verse.",File Name: Juice x Markee Rough_2 Session Title: Juice x Markee.ptx Folder Title: Juice & Gdot,KODAK MOMENT BPM143,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded January 10, 2018. File Exported March 4, 2018.",-,"Surfaced August 31, 2023. Session Surfaced January 20, 2024.",3:35,Alternate Demo Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
367,GB&GR,255,Robbery (v1.1),Juice WRLD,Nick Mira,Max Lord,-,juerce robbery v1.1 (NM forgiato),Instrumental: NM - Forgiato 160BPM MIDI: nm - (piano) actavis Beat Pack: juice december: late december,"Rented Home Recording Studio, Sherman Oaks, Los Angeles, CA.","Recorded January 24, 2018. .L/.R Files Exported January 25, 2018.","First Previewed January 25, 2018. First Teased February 1, 2018.","Surfaced May 21, 2018.",4:00,Alternate Demo Track ( Complete ),Original Files .L/.R 1411kbps (.wav) 320kbps (.mp3)
368,GB&GR,256,Rockets Ms. Jackson Song is titled after the instrumental.,Juice WRLD,Mega Beats,Max Lord,Interpolates OutKast's 'Ms. Jackson'.,File Name: juice wrld - rockets v1.0 Session Title: rockets v1.0.ptx Folder Title: rockets,"Instrumental (1): rockets-1113789 Instrumental (2): ""Rockets"" - (2017) YBN Nahmir / Tay K / Pierre Bourne Type Beat","Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 8, 2018.","First Previewed January 31, 2024. First Teased December 30, 2016.","Surfaced October 28, 2025. Session Surfaced January 15, 2026.",3:52,Throwaway Track ( Complete ),Studio Session & Pro Tools Export
369,GB&GR,257,Rockstar Lifestyle* Song is untitled.,Juice WRLD,Unknown,Marquis Robinson,-,File Name: Juice 1-12-18 Session Title: Juice 1-12-18.ptx,,"Complex 2010 Recording Studio, China Town, Chicago, IL.","Recorded January 12, 2018.",-,"Surfaced August 3, 2021.",2:49,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
370,GB&GR,258,Rockstar Status* Song is untitled.,Juice WRLD,CHASETHEMONEY,Unknown,-,juice WRLD 6,,"Fort Knox Recording Studio, Mayfair, Chicago, IL.","Recorded January 11-12, 2018.","First Previewed September 9, 2018.","Surfaced July 24, 2018.",3:08,Throwaway Track ( Complete ),Original File 256kbps (.mp3)
371,GB&GR,259,Rollie Something To Prove Song is titled after the instrumental.,Juice WRLD,Jamz,PrettyBoy Pablo,-,File Name: Juice - Rollie Session Title: ROLLIE.ptx,ROLLIE JAMZ BEAT 163TEMPO,"Penthouse Recording Studio, Times Square, New York City, NY.","Recorded February 5, 2018. File Exported February 5, 2018.",-,"Surfaced October 1, 2022. Session Surfaced October 1, 2022.",2:56,Original Solo Demo Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
372,GB&GR,260,Rose Petals Meadows,Juice WRLD,Clams Casino & Smokeasac,Justin Craig,-,File Name: Rose Pedals (JcraigMix) Session Title: 426-1.ptx,Instrumental (1): clams casino smokeasac beat 2 Instrumental (2): clams casino smokeasac beat 2 999 switch out ruff,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 27, 2018. File Exported April 27, 2018.","First Previewed November 22, 2019.","Surfaced October 9, 2021. Session Surfaced June 28, 2023.",2:40,Throwaway Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
373,GB&GR,261,Rotate,Juice WRLD,Sonic,Chris Barnett,-,File Name: ROTATE @cbmix Session Title: ROTATE.ptx,Chase Davis - light Vision,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded January 27-28, 2018. File Exported January 28, 2018.",-,"Surfaced July 20, 2021. Session Surfaced August 16, 2023.",2:57,Throwaway Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
374,GB&GR,262,Round (feat. Juice WRLD) [v1],Yung Bans,Cassius Jay & Wheezy,Patrik Ehrenbald-Plummer & Unknown,Song originally began as a solo Yung Bans track.,Bans x Juice - Round 3.8.18 v1,,"Juice's Vocals NightBird Recording Studio, West Hollywood, Los Angeles, CA.","Juice's Vocals March 8, 2018.","First Previewed March [ ? ], 2018.","Surfaced July 9, 2022.",2:32,Original Feature Demo Track ( Complete ),Original File 320kbps (.mp3)
375,GB&GR,263,Run Away,Juice WRLD,Edsclusive,Justin Craig,-,File Name: Run Away (JcraigMix) 149Bpm Session Title: Money Way.ptx,money way (Edsclusive),"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 4, 2018. File Exported April 4, 2018.",-,"Surfaced April 4, 2021. Session Surfaced August 16, 2023.",1:57,Throwaway Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
376,GB&GR,264,Run That Shit* Song is untitled.,Juice WRLD,Joey88,Unknown,-,juice WRLD 5,,"Fort Knox Recording Studio, Mayfair, Chicago, IL.","Recorded January 11-12, 2018.","First Previewed January 15, 2018.","Surfaced July 24, 2018.",3:39,Throwaway Track ( Complete ),Original File 256kbps (.mp3)
377,GB&GR,265,Rush (v1) Song was originally untitled.,Juice WRLD,Dorien Theus & Nick Mira,Joey Galvan,-,File Name: 03.19.18 Juice Wrld Song 2 V1 Session Title: 03.19.18 Juice Wrld Song 2 V1.ptx,Instrumental: DT x NM - Travel 140BPM Loop Stems: Based 110 Loop Kit: Nick Mira - Gasolina,"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded March 20, 2018.",-,"Surfaced September 26, 2018. Session Surfaced February 22, 2023.",3:15,Original Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
378,GB&GR,266,Rush (v2) Song was originally untitled.,Juice WRLD,Dorien Theus & Nick Mira,Joey Galvan,-,File Name: 03.19.18 Juice Wrld Rush V2 Session Title: 03.19.18 Juice Wrld Song 2 V2.ptx,Instrumental: DT x NM - Travel 140BPM Loop Stems: Based 110 Loop Kit: Nick Mira - Gasolina,"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded March 20, 2018.",-,"Surfaced July 8, 2023. Session Surfaced February 22, 2023.",3:11,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
379,GB&GR,267,Sad Thing,Juice WRLD,CuBeatz & Southside,Chris Barnett,Shares the same instrumental as 'Never Cared'.,File Name: Juice Wrld - Sad Thing prod by Southside Session Title: cb 2.ptx,rebirth43cue,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 24, 2018. File Exported April 24, 2018.","First Previewed June 6, 2023.","Surfaced August 11, 2023.",3:04,Throwaway Track ( Complete ),Original Files 1411kbps (.wav) 320kbps (.mp3)
380,GB&GR,268,Safe (with D. Savage),Juice WRLD & D. Savage,The Beat Asylum,James Kang,"Shares the same instrumental as 'Can't Feel My Face', 'Slowly' & 'Whole Lotta Shots'.",D SAVAGE X JUICE WRLD - SAFE,JUICE XXX,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 26, 2018.","First Previewed February 26, 2018.","Surfaced May 22, 2018.",2:59,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
381,GB&GR,269,Scared Of Love (v1) Song was originally called 'Scared To Love'.,Juice WRLD,Ghost Loft & Mitch Mula,Mitch Mula & Unknown,-,SCARED TO LOVE,,"Private Stock Recording Studio, Mayfair, Chicago, IL.","Recorded January 31, 2018.","First Previewed January 31, 2018. First Teased February 10, 2018.","Surfaced April 4, 2023.",2:50,Original Demo Track ( Complete ),Original File 320kbps (.mp3)
382,GB&GR,270,Scissor Song is titled after the instrumental.,Juice WRLD,Deedot Will,Max Lord,"Song is unfinished, contains an open verse.",File Name: juice wrld - scissor 48 deedot v1.0 Session Title: scissor 48 deedot v1.0.ptx Folder Title: scissor 48 deedot,Scissor 48 [Prod. by Deedotwill] 3-7-18 155 BPM,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 7-8, 2018.",-,"Surfaced March 27, 2020. Session Surfaced December 13, 2025.",2:53,Throwaway Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
383,GB&GR,271,Shadows,Juice WRLD,C-Sick & Mitch Mula,Justin Craig,-,File Name: Shadows (ROUGH) Session Title: CSick.ptx,C-Sick - 301 - HipsterTrapSmooth,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 3, 2018.",-,"Surfaced April, 20, 2021. Session Surfaced November 15, 2023.",2:18,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
384,GB&GR,272,Shadows Sorrows,Juice WRLD,Nick Mira,Patrik Ehrenbald-Plummer,"Song is unfinished, contains an open verse.",Juice WRLD - Shadows rough v1,Instrumental: Revenge 151 BPM Loop: Revenge 120 Loop Kit: Nick Mira - Voyager Beat Pack: 11.25.17 Juice,"NightBird Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 10-11, 2018.",-,"Surfaced July 7, 2020.",3:01,Throwaway Track ( Open Verse ),Original File 320kbps (.mp3)
385,GB&GR,273,Shoot For Love (v1) Shoot For You Song was originally called 'Ready Or Not'.,Juice WRLD,Dorien Theus & Klimax Productions,Juice WRLD,Shares the same instrumental as 'Miracle*'.,File Name: shoot for you Session Title: ready or not.ptx Folder Title: juice,"Instrumental (1): Lift UT 158 Instrumental (2): Tory Lanez Type Beat - ""Lift"" (Prod. by Klimax Productions x Sidepce) 2017","Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded January 4, 2018.","First Previewed January 4, 2018.","Surfaced January 25, 2026. Session Surfaced January 25, 2026.",4:21,Original Solo Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
386,GB&GR,274,Shoot For Love (v2) Shoot For You Song was originally called 'Ready Or Not'.,Juice WRLD,Dorien Theus & Klimax Productions,Juice WRLD,Shares the same instrumental as 'Miracle*'.,File Name: shoot for you_1 Session Title: ready or not.ptx Folder Title: juice,"Instrumental (1): Lift UT 158 Instrumental (2): Tory Lanez Type Beat - ""Lift"" (Prod. by Klimax Productions x Sidepce) 2017","Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Hook & Verses January 4, 2018. Ad-Libs January 4-5, 2018.","First Teased January 5, 2018.","Surfaced January 25, 2026. Session Surfaced January 25, 2026.",4:21,Alternate Solo Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
387,GB&GR,275,Shoot For Love (v3) Shoot For You Song was originally called 'Ready Or Not'.,Juice WRLD,Dorien Theus & Klimax Productions,Juice WRLD,Shares the same instrumental as 'Miracle*'.,File Name: shoot for you_2 Session Title: ready or not.ptx Folder Title: juice,"Instrumental (1): Lift UT 158 Instrumental (2): Tory Lanez Type Beat - ""Lift"" (Prod. by Klimax Productions x Sidepce) 2017","Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Hook & Verses January 4, 2018. Ad-Libs January 4-5, 2018. File Exported January 7, 2018.",-,"Surfaced January 25, 2026. Session Surfaced January 25, 2026.",4:21,Alternate Solo Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
388,GB&GR,276,Shoot For Love (v4) Shoot For You Song was originally called 'Ready Or Not'.,Juice WRLD,Dorien Theus & Klimax Productions,Juice WRLD,Shares the same instrumental as 'Miracle*'.,File Name: shoot for you_3 Session Title: ready or not.ptx Folder Title: juice,"Instrumental (1): Lift UT 158 Instrumental (2): Tory Lanez Type Beat - ""Lift"" (Prod. by Klimax Productions x Sidepce) 2017","Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Hook & Verses January 4, 2018. Ad-Libs January 4-5, 2018. File Exported January 7, 2018.",-,"Surfaced June 10, 2018. Session Surfaced January 25, 2026.",4:21,Alternate Solo Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
389,GB&GR,277,Sideshow (v1) Rob A Bank Song is titled after the instrumental.,Juice WRLD,Dorien Theus & Nick Mira,PrettyBoy Pablo,-,File Name: juice - sideshow Session Title: Sideshow.ptx,Instrumental: NM x DT - Sideshow 152BPM MIDI: Courtney Beat Pack: juice feb 1,"Penthouse Recording Studio, Times Square, New York City, NY.","Recorded February 5, 2018. File Exported February 5, 2018.",-,"Surfaced October 10, 2024. Session Surfaced September 27, 2022.",5:20,Original Demo Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
390,GB&GR,278,Sideshow (v2) Rob A Bank Song is titled after the instrumental.,Juice WRLD,Dorien Theus & Nick Mira,PrettyBoy Pablo,-,File Name: Juice - Sideshow Session Title: Sideshow.ptx,Instrumental: NM x DT - Sideshow 152BPM MIDI: Courtney Beat Pack: juice feb 1,"Penthouse Recording Studio, Times Square, New York City, NY.","Recorded February 5, 2018. File Exported February 5, 2018.","First Previewed November 6, 2021.","Surfaced September 21, 2022. Session Surfaced September 27, 2022.",3:05,Alternate Demo Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
391,GB&GR,279,Slasher (v1.4),Juice WRLD,CuBeatz & Southside,Max Lord,-,File Name: shrrom30 v1.4 slasher Session Title: shrrom30 v1.4 slasher.ptx Folder Title: shrrom30,shroom30,"Valley High Residential Recording Studio, Studio City, Los Angeles, CA.","Recorded January 17, 2018.",-,"Surfaced December 9, 2024. Session Surfaced January 25, 2026.",3:29,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
392,GB&GR,280,Slasher (v1.5),Juice WRLD,CuBeatz & Southside,Max Lord,-,File Name: shrrom30 v1.5 slasher less delay Session Title: shrrom30 v1.5 slasher.ptx Folder Title: shrrom30,shroom30,"Valley High Residential Recording Studio, Studio City, Los Angeles, CA.","Recorded January 17, 2018.","First Previewed January 17, 2018.","Surfaced May 21, 2018. Session Surfaced January 25, 2026.",3:29,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
393,GB&GR,281,Sleep Paralysis* (v1) Song is untitled.,Juice WRLD,The Chainsmokers & Tony Ann,2Fly & Max Lord,"Song is unfinished, contains an open verse.",File Name: Juice x Chain tonyann 4.11 Session Title: Juice Chain tonyann 4.11.18.ptx,tonyann_fm97,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 12, 2018.",-,"Surfaced May 11, 2023. Session Surfaced December 8, 2023.",2:19,Original Demo Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
394,GB&GR,282,Sleep Paralysis* (v2) Song is untitled.,Juice WRLD,The Chainsmokers & Tony Ann,2Fly & Max Lord,-,File Name: Juice x Chain tonyann 4.11 v2 Session Title: Juice Chain tonyann 4.11.18.ptx,tonyann_fm97,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 12, 2018.","First Previewed October 15, 2018.","Surfaced December 8, 2019. Session Surfaced December 8, 2023.",2:18,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
395,GB&GR,283,Slenderman* Song is untitled.,Juice WRLD,Dorien Theus,Blake Harden & James Kang,"Song is unfinished, contains an open verse.",File Name: Juice Wrld_2 Session Title: Juice Wrld_2.ptx,DT - Aero 155BPM,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded May 5, 2018.",-,"Surfaced July 16, 2018. Session Surfaced June 27, 2024.",3:55,Throwaway Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
396,GB&GR,284,Slim Body Song is titled after the instrumental.,Juice WRLD,Jamz,PrettyBoy Pablo,"Song is unfinished, contains an open verse.",File Name: juice - slim body Session Title: JUICE X JAMZ - Slim Body.ptx,SLIM BODY JAMZ BEAT 117TEMPO,"Penthouse Recording Studio, Times Square, New York City, NY.","Recorded February 5, 2018. File Exported February 5, 2018.",-,"Surfaced September 21, 2022. Session Surfaced October 1, 2022.",4:49,Original Solo Demo Track ( Open Verse ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
397,GB&GR,285,Slowly Trust No One ( Pt. 2 ),Juice WRLD,The Beat Asylum,Juice WRLD,"Sequel track to 'No Love, No Trust 999'. Shares the same instrumental as 'Can't Feel My Face', 'Safe' & 'Whole Lotta Shots'.",File Name: slowly Session Title: trust no one part 2.ptx Folder Title: Trust No One,JUICE XXX,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded December 23, 2017.",-,"Surfaced October 6, 2021. Session Surfaced December 2, 2023.",3:13,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
398,GB&GR,286,Smoke,Juice WRLD,"CHASETHEMONEY, DJ Victoriouz, RioMac & Unknown",Justin Craig,-,File Name: Smoke (ROUGH) Session Title: Z MAC VIC CTM (130).ptx,Z MAC VIC CTM (130),"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 2, 2018.",-,"Surfaced August 16, 2023. Session Surfaced August 16, 2023.",1:59,Original Solo Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
399,GB&GR,287,Smoke (feat. Valee),Juice WRLD,"CHASETHEMONEY, DJ Victoriouz, RioMac & Unknown",Justin Craig,Song originally began as a solo Juice WRLD track.,File Name: Smoke (JcraigMix) 130Bpm Session Title: Z MAC VIC CTM (130).ptx,Z MAC VIC CTM (130),"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Juice's Vocals April 2, 2018. Valee's Vocals April 3, 2018. File Exported April 3, 2018.","First Previewed April 3, 2018.","Surfaced June 22, 2018. Session Surfaced August 16, 2023.",2:58,Feature Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
400,GB&GR,288,So Hard Shit Talk,Juice WRLD,Dopelord Mike & LiLMexicoBeatz,Oz On The Track,-,File Name: So hard (rough) Session Title: song 3.ptx,Instrumental: 3.4 mexico Loop: Lil Uzi Vert Type Epiano,"ATS Records Recording Studio, West Loop, Chicago, IL.","Recorded April 16, 2018.","First Previewed April 16, 2018.","Surfaced July 7, 2018. Session Surfaced June 22, 2022.",2:44,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
401,GB&GR,289,Sober,Juice WRLD,Cardo Got Wings & Yung Exclusive,Eli,-,File Name: JuiceWRLD - Sober_RoughDraft Session Title: 41-1.ptx,Twinny Twin Twins BPM139-2,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 1, 2018. File Exported April 1, 2018.",-,"Surfaced August 15, 2023. Session Surfaced August 16, 2023.",2:04,Throwaway Track ( Complete ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
402,GB&GR,290,Some More,Juice WRLD,Chopsquad DJ & Southside,Blake Harden,-,File Name: SOME MORE_RUFF 1 Session Title (1): song 1.ptx Session Title (2): Some More.ptx,BOOMINATI DJ 224,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 26, 2018.",-,"Surfaced July 16, 2018. Session Surfaced November 7, 2025.",2:22,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
403,GB&GR,291,Stop Talking (v1) Song was originally called 'Stick Talk Shit'.,Juice WRLD,The Beat Asylum,Juice WRLD,-,File Name: stop talking Session Title: stick talk shit.ptx Folder Title: Stick Talk Shit,LOCKED IN BPM150,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded January 1-2, 2018. File Exported January 2, 2018.","First Previewed January 2, 2018.","Surfaced December 1, 2023. Session Surfaced December 31, 2023.",3:15,Original Demo Track ( Complete ),Studio Session & Original File 2117kbps (.wav)
404,GB&GR,292,Stop Talking (v2) Song was originally called 'Stick Talk Shit'.,Juice WRLD,The Beat Asylum,Juice WRLD,-,File Name: stop talking 2 Session Title: stick talk shit.ptx Folder Title: Stick Talk Shit,LOCKED IN BPM150,"Unhkl Flex's Home Recording Studio, Matteson, Chicago, IL.","Recorded January 1-2, 2018.",-,"Surfaced June 13, 2018. Session Surfaced December 31, 2023.",3:15,Alternate Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
405,GB&GR,293,Stranger Song is titled after the instrumental.,Juice WRLD,BGOnTheBeat & CashMoneyAp,2Fly & Max Lord,-,File Name: Juice Stranger 4.8.18 Session Title: Juice Stranger CashmoneyAP 4.8.18.ptx,"Instrumental (1): Stranger ( CashMoneyAp x BGOnTheBeat ) Instrumental (2): Trippie Redd Type Beat 2018 - ""Stranger"" | Free Type Beat | Rap/Trap Instrumental 2018","Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded April 9, 2018.",-,"Surfaced October 4, 2019. Session Surfaced December 5, 2025.",3:11,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
406,GB&GR,294,Surf* Wrong Time Song is untitled.,Juice WRLD,Asurms & DJ Victoriouz,DJ Victoriouz,-,dj vic 5,,"Fort Knox Recording Studio, Mayfair, Chicago, IL.","Recorded January 10, 2018.","First Previewed January 10, 2018.","Surfaced October 1, 2020.",3:12,Throwaway Track ( Complete ),Original File 256kbps (.mp3)
407,GB&GR,295,"Take My Soul (v1) Song was originally titled 'CB01012018', after the instrumental.",Juice WRLD,Chris Barnett,Thomas Cullison,-,File Name: CB01012018 REF Session Title: CB01012018.ptx,cb 01012018a,"Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 20, 2018.",-,"Surfaced September 29, 2022. Session Surfaced August 13, 2023.",2:51,Original Demo Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
408,GB&GR,296,"Take My Soul (v2) Song was originally titled 'CB01012018', after the instrumental.",Juice WRLD,Chris Barnett,Chris Barnett & Thomas Cullison,-,File Name: TAKE MY SOUL prod by CBMIX Session Title: CB01012018 CB.ptx,Juice Wrld - Take my Soul prod by Cbmix - instrumental - cb 01012018a,"Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 20, 2018. File Exported March 25, 2018.",-,"Surfaced August 13, 2023. Session Surfaced August 13, 2023.",2:51,Alternate Demo Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
409,GB&GR,297,Take No Chance,Juice WRLD,Nick Mira,Justin Craig,"Shares the same instrumental as 'Make It Sell'. Song is unfinished, contains an open verse.",File Name: Take No Chance (ROUGH) Session Title: Forever160.ptx,Instrumental: NM - Forever 160 BPM Beat Pack: Juice August Pack,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 29, 2018.",-,"Surfaced July 28, 2021. Session Surfaced August 30, 2023.",2:48,Throwaway Track ( Open Verse ),Studio Session & Original File 320kbps (.mp3)
410,GB&GR,298,Tales Of The Toxic,Juice WRLD,Robert Mefford & Unknown,Robert Mefford,Samples 'The Last Man On Earth' a movie from 1964.,File Name: TALES OF THE TOXIC (MIX 1) 162bpm Session Title: 417-2.ptx,CURE ME - 162bpm Aminor,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 18, 2018. File Exported April 18, 2018.","First Previewed April 18, 2018. First Teased April 18, 2018.","Surfaced March 28, 2021. Session Surfaced August 16, 2023.",2:35,Throwaway Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
411,GB&GR,299,Task Force,Juice WRLD,Danny Wolf & Otxhello,James Kang,Shares the same instrumental as 'Are You Happy?'.,File Name: TASKFORCE Session Title: SONG4.ptx,r-uhappy,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 25, 2018.",-,"Surfaced July 16, 2018. Session Surfaced June 12, 2025.",3:14,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
412,GB&GR,300,Teasing Song is titled after the instrumental.,Juice WRLD,Nick Mira,Thomas Cullison,"Shares the same loop as 'Lean Wit' Me'. Song is unfinished, contains an open verse.",File Name: TEASING REF Session Title: TEASING.ptx,Instrumental: NM - Teasing 167BPM Loop Kit: Nick Mira - Gasolina 2 Beat Pack: NM - Juice Feb 18,"Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 18-19, 2018.","First Previewed September 22, 2022.","Surfaced September 23, 2022.",3:49,Throwaway Track ( Open Verse ),Original File 320kbps (.mp3)
413,GB&GR,301,Tell Your Friends,Juice WRLD,Danny Wolf & DILIP,James Kang,-,File Name: TELL YOUR FRIENDS Session Title: SONG2.ptx,playing,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded February 24-25, 2018.",-,"Surfaced July 16, 2018. Session Surfaced December 9, 2025.",2:04,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
414,GB&GR,302,That Sad Shit Devil In Prada,Juice WRLD,Nick Mira,James Kang,"Song is unfinished, contains an open verse.",File Name: THAT SAD SHIT Session Title: SONG1.ptx,Instrumental: NM - Faygo 136BPM Beat Pack: NM - Juice Feb 18,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 4-5, 2018.",-,"Surfaced October 5, 2019.",2:49,Throwaway Track ( Open Verse ),Original File 320kbps (.mp3)
415,GB&GR,303,The Race,Juice WRLD,Murda Beatz,James Kang,-,File Name: THE RACE Session Title: SONG8.ptx,1818 146,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 3, 2018.",-,"Surfaced June 16, 2018. Session Surfaced January 25, 2026.",3:04,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
416,GB&GR,304,Tick-Tock,Juice WRLD,Murda Beatz,James Kang,-,File Name: TICK TOCK Session Title: SONG3.ptx,i had a dream 148,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded March 2, 2018.","First Previewed March 3, 2018. First Teased March 3, 2018.","Surfaced July 16, 2018. Session Surfaced January 25, 2026.",3:01,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
417,GB&GR,305,To The Grave (v1),Juice WRLD,Nick Mira,Robert Mefford,-,File Name: TO THE GRAVE (MIX 1) 149bpm Session Title: 417-1.ptx Folder Title: TO THE GRAVE,Instrumental: NM - Olde 149BPM Loop Stems: NM_Ivy 140 Loop Kit: Nick Mira - Gasolina 2 Beat Pack: Nick Mira - March 18,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 17, 2018. File Exported April 18, 2018.","First Previewed April 17, 2018.","Surfaced July 15, 2023. Session Surfaced June 28, 2023.",2:21,Original Demo Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
418,GB&GR,306,Tonight (feat. Valee) [v1],Juice WRLD,Murda Beatz & Smokescreen,BJ Mekk,-,File Name: Juice Wrld - Tonight Session Title: Juice Wrld - Tonight.ptx Folder Title: Juice Wrld -Tonight,chi chi 135,"Paramount Ameraycan Recording Studio, North Hollywood, Los Angeles, CA.","Recorded May 22, 2018. File Exported May 23, 2018.",-,"Surfaced July 15, 2018. Session Surfaced June 11, 2021.",3:19,Original Feature Demo Track ( Complete ),Studio Session & Original Files 3072kbps (.wav) 320kbps (.mp3)
419,GB&GR,307,Track Race Scarface,Juice WRLD,Nick Mira,Justin Craig,Shares the same instrumental as 'Too Far'.,File Name: Track Race (Jcraigmix) Session Title: ranch 167.ptx,Instrumental: NM - Ranch 167 BPM Loop Stems: Nick Mira - Return 167 BPM Beat Pack: Juice August Pack,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 30 - May 1, 2018. File Exported May 1, 2018.","First Previewed May 1, 2018.","Surfaced July 19, 2020. Session Surfaced June 28, 2023.",2:53,Throwaway Track ( Complete ),Studio Session & Original Files 1411kbps (.wav) 320kbps (.mp3)
